<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,D,20200709,000000,1.2613000,1.2669000,1.2596000,1.2604000,1900604
GBPUSD,D,20200710,000000,1.2605000,1.2664000,1.2565000,1.2622000,1566414
GBPUSD,D,20200712,000000,1.2619000,1.2638000,1.2607000,1.2626000,66170
GBPUSD,D,20200713,000000,1.2626000,1.2666000,1.2548000,1.2551000,1369626
GBPUSD,D,20200714,000000,1.2550000,1.2572000,1.2478000,1.2566000,1789036
GBPUSD,D,20200715,000000,1.2571000,1.2650000,1.2561000,1.2590000,1614916
GBPUSD,D,20200716,000000,1.2590000,1.2625000,1.2518000,1.2557000,1610129
GBPUSD,D,20200717,000000,1.2558000,1.2574000,1.2510000,1.2567000,1197669
GBPUSD,D,20200719,000000,1.2560000,1.2573000,1.2548000,1.2569000,71266
GBPUSD,D,20200720,000000,1.2571000,1.2665000,1.2516000,1.2660000,1173527
GBPUSD,D,20200721,000000,1.2661000,1.2768000,1.2648000,1.2731000,1335686
GBPUSD,D,20200722,000000,1.2732000,1.2744000,1.2642000,1.2726000,1496506
GBPUSD,D,20200723,000000,1.2727000,1.2760000,1.2671000,1.2729000,1445136
GBPUSD,D,20200724,000000,1.2729000,1.2804000,1.2715000,1.2789000,1317333
GBPUSD,D,20200726,000000,1.2789000,1.2802000,1.2776000,1.2793000,78736
GBPUSD,D,20200727,000000,1.2793000,1.2903000,1.2792000,1.2887000,1508350
GBPUSD,D,20200728,000000,1.2888000,1.2953000,1.2836000,1.2923000,1395041
GBPUSD,D,20200729,000000,1.2924000,1.3014000,1.2910000,1.2979000,1452452
GBPUSD,D,20200730,000000,1.2978000,1.3120000,1.2943000,1.3115000,1556081
GBPUSD,D,20200731,000000,1.3116000,1.3170000,1.3068000,1.3082000,1747100
GBPUSD,D,20200802,000000,1.3080000,1.3105000,1.3065000,1.3099000,86860
GBPUSD,D,20200803,000000,1.3099000,1.3113000,1.3003000,1.3077000,1628405
GBPUSD,D,20200804,000000,1.3077000,1.3108000,1.2979000,1.3085000,1432367
GBPUSD,D,20200805,000000,1.3084000,1.3162000,1.3056000,1.3125000,1279655
GBPUSD,D,20200806,000000,1.3125000,1.3186000,1.3116000,1.3136000,1615737
GBPUSD,D,20200807,000000,1.3137000,1.3148000,1.3007000,1.3051000,1379224
GBPUSD,D,20200809,000000,1.3041000,1.3067000,1.3031000,1.3050000,57333
GBPUSD,D,20200810,000000,1.3050000,1.3103000,1.3017000,1.3075000,1157425
GBPUSD,D,20200811,000000,1.3075000,1.3132000,1.3040000,1.3050000,1377632
GBPUSD,D,20200812,000000,1.3050000,1.3068000,1.3004000,1.3045000,1469994
GBPUSD,D,20200813,000000,1.3046000,1.3125000,1.3041000,1.3069000,1282487
GBPUSD,D,20200814,000000,1.3069000,1.3143000,1.3047000,1.3084000,1113589
GBPUSD,D,20200816,000000,1.3084000,1.3107000,1.3084000,1.3104000,51219
GBPUSD,D,20200817,000000,1.3105000,1.3122000,1.3072000,1.3106000,1029874
GBPUSD,D,20200818,000000,1.3105000,1.3255000,1.3103000,1.3253000,1253905
GBPUSD,D,20200819,000000,1.3253000,1.3267000,1.3091000,1.3109000,1392250
GBPUSD,D,20200820,000000,1.3109000,1.3225000,1.3062000,1.3218000,1521777
GBPUSD,D,20200821,000000,1.3219000,1.3255000,1.3057000,1.3090000,1509123
GBPUSD,D,20200823,000000,1.3087000,1.3102000,1.3078000,1.3093000,49140
GBPUSD,D,20200824,000000,1.3092000,1.3149000,1.3050000,1.3070000,1212946
GBPUSD,D,20200825,000000,1.3071000,1.3171000,1.3056000,1.3149000,1318912
GBPUSD,D,20200826,000000,1.3150000,1.3220000,1.3115000,1.3218000,1236619
GBPUSD,D,20200827,000000,1.3219000,1.3285000,1.3159000,1.3200000,1651897
GBPUSD,D,20200828,000000,1.3199000,1.3357000,1.3184000,1.3349000,1521668
GBPUSD,D,20200830,000000,1.3349000,1.3358000,1.3335000,1.3355000,68255
GBPUSD,D,20200831,000000,1.3355000,1.3396000,1.3299000,1.3363000,1281504
GBPUSD,D,20200901,000000,1.3363000,1.3483000,1.3355000,1.3399000,1667471
GBPUSD,D,20200902,000000,1.3399000,1.3401000,1.3282000,1.3347000,1520516
GBPUSD,D,20200903,000000,1.3347000,1.3348000,1.3241000,1.3263000,1654125
GBPUSD,D,20200904,000000,1.3263000,1.3319000,1.3174000,1.3276000,1579569
GBPUSD,D,20200906,000000,1.3287000,1.3287000,1.3237000,1.3247000,70516
GBPUSD,D,20200907,000000,1.3247000,1.3258000,1.3139000,1.3160000,1095178
GBPUSD,D,20200908,000000,1.3161000,1.3166000,1.2948000,1.2965000,1633856
GBPUSD,D,20200909,000000,1.2965000,1.3023000,1.2883000,1.2997000,1633914
GBPUSD,D,20200910,000000,1.2997000,1.3035000,1.2772000,1.2806000,1822234
GBPUSD,D,20200911,000000,1.2806000,1.2866000,1.2761000,1.2796000,1569381
GBPUSD,D,20200913,000000,1.2793000,1.2812000,1.2773000,1.2807000,40106
GBPUSD,D,20200914,000000,1.2807000,1.2919000,1.2789000,1.2847000,1261173
GBPUSD,D,20200915,000000,1.2847000,1.2926000,1.2813000,1.2882000,1348313
GBPUSD,D,20200916,000000,1.2883000,1.3007000,1.2873000,1.2960000,1641041
GBPUSD,D,20200917,000000,1.2960000,1.2999000,1.2863000,1.2974000,1939157
GBPUSD,D,20200918,000000,1.2975000,1.3000000,1.2913000,1.2914000,1438722
GBPUSD,D,20200920,000000,1.2914000,1.2938000,1.2910000,1.2931000,53417
GBPUSD,D,20200921,000000,1.2932000,1.2967000,1.2773000,1.2817000,1829025
GBPUSD,D,20200922,000000,1.2818000,1.2867000,1.2710000,1.2742000,1717024
GBPUSD,D,20200923,000000,1.2742000,1.2777000,1.2674000,1.2713000,1816850
GBPUSD,D,20200924,000000,1.2714000,1.2781000,1.2689000,1.2755000,1804320
GBPUSD,D,20200925,000000,1.2756000,1.2806000,1.2686000,1.2745000,1524287
GBPUSD,D,20200927,000000,1.2742000,1.2780000,1.2742000,1.2763000,53278
