<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170219,000000,0.7668000,0.7675000,0.7664000,0.7669200,383
AUDUSD,D,20170220,000000,0.7671000,0.7690300,0.7655000,0.7682900,951803
AUDUSD,D,20170221,000000,0.7682800,0.7690500,0.7645000,0.7681400,1068984
AUDUSD,D,20170222,000000,0.7681300,0.7714800,0.7662000,0.7706900,1309200
AUDUSD,D,20170223,000000,0.7707600,0.7740700,0.7661000,0.7712600,1338413
AUDUSD,D,20170224,000000,0.7713300,0.7720300,0.7660000,0.7677800,1218867
AUDUSD,D,20170225,000000,0.7678000,0.7678100,0.7664000,0.7674800,25308
AUDUSD,D,20170226,000000,0.7666000,0.7679000,0.7666000,0.7672000,844
AUDUSD,D,20170227,000000,0.7672000,0.7707700,0.7659000,0.7676400,1119643
AUDUSD,D,20170228,000000,0.7677100,0.7694800,0.7656000,0.7667000,1188965
AUDUSD,D,20170301,000000,0.7667100,0.7699600,0.7632000,0.7676000,1594361
AUDUSD,D,20170302,000000,0.7676300,0.7682000,0.7553000,0.7571000,1309473
AUDUSD,D,20170303,000000,0.7571100,0.7594700,0.7539000,0.7592900,1410094
AUDUSD,D,20170304,000000,0.7592900,0.7598100,0.7587000,0.7590500,35865
AUDUSD,D,20170305,000000,0.7574000,0.7595000,0.7574000,0.7587000,550
AUDUSD,D,20170306,000000,0.7585000,0.7609300,0.7566000,0.7582500,1103487
AUDUSD,D,20170307,000000,0.7582400,0.7632600,0.7572000,0.7589400,1233690
AUDUSD,D,20170308,000000,0.7589500,0.7608700,0.7525000,0.7530400,1299857
AUDUSD,D,20170309,000000,0.7531300,0.7535200,0.7487000,0.7508600,1387606
AUDUSD,D,20170310,000000,0.7509000,0.7556800,0.7494000,0.7546900,1330194
AUDUSD,D,20170311,000000,0.7546600,0.7548800,0.7535000,0.7538300,39753
AUDUSD,D,20170312,000000,0.7534000,0.7549300,0.7532000,0.7544900,846
AUDUSD,D,20170313,000000,0.7548000,0.7592300,0.7530000,0.7569600,1220174
AUDUSD,D,20170314,000000,0.7569600,0.7579500,0.7535000,0.7558400,1128427
AUDUSD,D,20170315,000000,0.7558400,0.7719400,0.7551000,0.7707900,1325282
AUDUSD,D,20170316,000000,0.7707900,0.7717300,0.7659000,0.7674800,1484931
AUDUSD,D,20170317,000000,0.7677200,0.7717700,0.7659000,0.7701200,1213860
AUDUSD,D,20170318,000000,0.7699300,0.7703800,0.7698800,0.7703500,44
AUDUSD,D,20170319,000000,0.7698500,0.7700000,0.7682000,0.7690000,967
AUDUSD,D,20170320,000000,0.7688400,0.7747800,0.7687600,0.7729800,1149965
AUDUSD,D,20170321,000000,0.7730100,0.7749500,0.7679000,0.7689800,1426864
AUDUSD,D,20170322,000000,0.7689100,0.7690600,0.7635000,0.7675800,1455543
AUDUSD,D,20170323,000000,0.7677400,0.7677400,0.7617000,0.7627200,1400047
AUDUSD,D,20170324,000000,0.7627300,0.7640700,0.7599000,0.7621200,1335910
AUDUSD,D,20170325,000000,0.7621200,0.7622000,0.7617500,0.7622000,69
AUDUSD,D,20170326,000000,0.7618500,0.7638000,0.7608000,0.7633400,1346
AUDUSD,D,20170327,000000,0.7631700,0.7648200,0.7604000,0.7616500,1223629
AUDUSD,D,20170328,000000,0.7616200,0.7654500,0.7583000,0.7632000,1221722
AUDUSD,D,20170329,000000,0.7632100,0.7675000,0.7626000,0.7668000,1186837
AUDUSD,D,20170330,000000,0.7669300,0.7679400,0.7635000,0.7639300,1179805
AUDUSD,D,20170331,000000,0.7640400,0.7662700,0.7619000,0.7626400,1221872
AUDUSD,D,20170401,000000,0.7628000,0.7628000,0.7626000,0.7627600,21
AUDUSD,D,20170402,000000,0.7630000,0.7640000,0.7624000,0.7628500,140
AUDUSD,D,20170403,000000,0.7629000,0.7640300,0.7586000,0.7602500,1091513
AUDUSD,D,20170404,000000,0.7603300,0.7615300,0.7541000,0.7563700,1147933
AUDUSD,D,20170405,000000,0.7564400,0.7587300,0.7555900,0.7567000,1128396
AUDUSD,D,20170406,000000,0.7569600,0.7577000,0.7528000,0.7544700,1093587
AUDUSD,D,20170407,000000,0.7542700,0.7546000,0.7490000,0.7492200,1421498
AUDUSD,D,20170408,000000,0.7495000,0.7501500,0.7495000,0.7501500,3
AUDUSD,D,20170409,000000,0.7490000,0.7500000,0.7487400,0.7488500,867
AUDUSD,D,20170410,000000,0.7491200,0.7509200,0.7471000,0.7500200,1155064
AUDUSD,D,20170411,000000,0.7499900,0.7515000,0.7470000,0.7496800,1345586
AUDUSD,D,20170412,000000,0.7495500,0.7528700,0.7469000,0.7520900,1432223
AUDUSD,D,20170413,000000,0.7519500,0.7595500,0.7515100,0.7564200,1381715
AUDUSD,D,20170414,000000,0.7566500,0.7582400,0.7555000,0.7577000,680405
AUDUSD,D,20170415,000000,0.7573400,0.7576700,0.7573400,0.7576700,14
AUDUSD,D,20170416,000000,0.7567000,0.7579300,0.7565000,0.7574600,193
AUDUSD,D,20170417,000000,0.7576800,0.7610600,0.7568600,0.7589600,821028
AUDUSD,D,20170418,000000,0.7589400,0.7596100,0.7529000,0.7558900,1309847
AUDUSD,D,20170419,000000,0.7557000,0.7563100,0.7488000,0.7496000,1240365
AUDUSD,D,20170420,000000,0.7495100,0.7546900,0.7488000,0.7526200,1216758
AUDUSD,D,20170421,000000,0.7526200,0.7546100,0.7511000,0.7539200,1145183
AUDUSD,D,20170422,000000,0.7540100,0.7540100,0.7539200,0.7539200,3
